ts,ms,pump,manual_override,alert,reason,context,rec_ms,tTop,tMid,tBot,dT_tb,pressure_hPa,lux,irObj,irAmb,airT,airRH,tds_mV,tds_sat,micRMS,DOproxy,ml_on,ml_pred,ml_conf,ml_used,extra
1758845367.516247,111953,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.6,22.59,20.45,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845368.5086641,112945,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1001.0,108.5,22.63,20.47,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845369.522687,113953,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1001.0,108.9,22.47,20.45,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845371.8042822,114945,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1001.0,108.5,22.51,20.45,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845372.02706,116465,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.6,22.63,20.41,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845373.018202,117457,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.5,22.47,20.45,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845374.024312,118465,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.5,22.37,20.39,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845375.0344808,119457,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1001.0,108.4,22.51,20.45,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845376.026999,120465,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.5,22.43,20.41,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
1758845377.148156,121457,False,False,False,none,night,0,19.44,19.5,19.87,-0.44,1000.9,108.6,22.43,20.39,19.5,69,0,False,0.0,9.06,True,calm,0.656,False,
