ts,ms,pump,manual_override,alert,reason,rec_ms,tTop,tMid,tBot,dT_tb,pressure_hPa,lux,irObj,irAmb,airT,airRH,tds_mV,tds_sat,micRMS,DOproxy
1758213450.5767732,64524,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.0,15.8,25.81,26.41,25.9,56,361,False,90.53,0.453
1758213451.5862951,65532,True,False,True,hypoxia_emerg,15000,28.12,28.06,27.94,0.19,1002.1,15.6,25.75,26.39,25.9,56,365,False,2.34,0.453
1758213452.5800488,66524,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.1,15.8,25.79,26.37,25.9,56,380,False,2.54,0.453
1758213453.5888262,67532,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.0,15.4,25.79,26.41,25.9,56,359,False,4.09,0.453
1758213454.5770361,68524,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.1,15.6,25.81,26.41,25.9,56,383,False,2.24,0.453
1758213455.594275,69532,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.0,15.7,25.75,26.39,25.9,56,371,False,2.06,0.453
1758213456.5767522,70524,True,False,True,hypoxia_emerg,15000,28.06,28.06,28.0,0.06,1002.1,15.6,25.81,26.41,25.9,56,375,False,2.48,0.453
1758213457.580789,71532,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.1,15.7,25.79,26.37,26.0,56,395,False,3.21,0.453
1758213458.576119,72524,True,False,True,hypoxia_emerg,15000,28.06,28.06,28.0,0.06,1002.0,15.6,25.81,26.43,26.0,55,391,False,90.55,0.453
1758213459.585973,73532,True,False,True,hypoxia_emerg,15000,28.06,28.06,28.0,0.06,1002.0,15.6,25.67,26.43,26.0,55,378,False,2.17,0.453
1758213460.576809,74524,True,False,True,hypoxia_emerg,15000,28.06,28.06,27.94,0.13,1002.1,15.7,25.73,26.41,25.9,55,368,False,2.44,0.453
